producto,categoria,anio,semana,precio_unitario,lag_1,lag_2,lag_3,lag_4,promedio_4,y_real,pred_baseline,pred_rf,pred_xgb
VACUNA C6/CV,VACUNAS,2026,4,6.12,3.0,7.0,4.0,7.0,5.25,2,5.25,5.78,5.395813
BRONCHICINE,VACUNAS,2026,5,4.6,1.0,2.0,3.0,2.0,2.0,1,2.0,1.7133333333333334,1.7255934
ENTEROCHRONIC,FARMACIA,2026,5,1.09,14.0,3.0,6.0,5.0,7.0,3,7.0,5.533333333333333,4.682197
PROTEGGO 1M 4.5 - 10KG MORADO,DESPARASITANTES INTERNOS Y EXTERNOS,2026,5,15.95,1.0,1.0,1.0,1.0,1.0,1,1.0,1.3333333333333333,1.4540468
RABISIN,VACUNAS,2026,5,2.52,1.0,3.0,5.0,4.0,3.25,1,3.25,3.28,4.749136
VACUNA C6/CV,VACUNAS,2026,5,6.12,2.0,3.0,7.0,4.0,4.0,1,4.0,3.533333333333333,4.544396
BRONCHICINE,VACUNAS,2026,6,4.6,1.0,1.0,2.0,3.0,1.75,1,1.75,1.5766666666666667,1.6609768
DAPPVL2,VACUNAS,2026,6,4.29,2.0,3.0,2.0,5.0,3.0,4,3.0,2.42,2.7571146
ENTEROCHRONIC,FARMACIA,2026,6,1.09,3.0,14.0,3.0,6.0,6.5,6,6.5,9.566666666666666,10.6441
FELOCELL FELV LEUCEMIA,VACUNAS,2026,6,9.7,2.0,1.0,1.0,1.0,1.25,2,1.25,1.6233333333333333,1.286272
GALGOCAL 200 mg,FARMACIA,2026,6,1.08,1.0,1.0,1.0,1.0,1.0,1,1.0,2.1766666666666667,4.8184385
GALGOCAL 600mg,DESPARASITANTES INTERNOS Y EXTERNOS,2026,6,1.88,1.0,2.0,1.0,3.0,1.75,1,1.75,1.57,1.6851698
KC INTRANASAL,VACUNAS,2026,6,6.51,1.0,1.0,1.0,1.0,1.0,1,1.0,1.4833333333333334,1.815215
MELOXICAM 1.5MG 10ML,FARMACIA,2026,6,2.1,1.0,1.0,1.0,1.0,1.0,3,1.0,1.8866666666666667,3.080421
PREVICOX 227MG TABLETA,FARMACIA,2026,6,1.66,15.0,12.0,3.0,21.0,12.75,2,12.75,11.306666666666667,12.414745
RABISIN,VACUNAS,2026,6,2.52,1.0,1.0,3.0,5.0,2.5,3,2.5,3.796666666666667,4.4031
SYNOQUIN RAZA PEQUEÑA 10KG,FARMACIA,2026,6,13.61,15.0,15.0,15.0,30.0,18.75,30,18.75,10.186666666666667,13.7635
BRONCHICINE,VACUNAS,2026,7,4.6,1.0,1.0,1.0,2.0,1.25,3,1.25,2.1066666666666665,1.8119369
DAPPVL2,VACUNAS,2026,7,4.29,4.0,2.0,3.0,2.0,2.75,6,2.75,2.7666666666666666,2.958133
GALGOCAL 200 mg,FARMACIA,2026,7,1.08,1.0,1.0,1.0,1.0,1.0,1,1.0,2.1766666666666667,4.8184385
MELOXICAM 1.5MG 10ML,FARMACIA,2026,7,2.1,3.0,1.0,1.0,1.0,1.5,1,1.5,2.1466666666666665,3.6274815
RABISIN,VACUNAS,2026,7,2.52,3.0,1.0,1.0,3.0,2.0,6,2.0,2.3966666666666665,3.024451
BRONCHICINE,VACUNAS,2026,8,4.6,3.0,1.0,1.0,1.0,1.5,2,1.5,2.283333333333333,3.1246104
DAPPVL2,VACUNAS,2026,8,4.29,6.0,4.0,2.0,3.0,3.75,4,3.75,2.9033333333333333,2.9517536
ENTEROCHRONIC,FARMACIA,2026,8,1.09,6.0,3.0,14.0,3.0,6.5,4,6.5,5.25,6.043661
FELOCELL FELV LEUCEMIA,VACUNAS,2026,8,9.7,2.0,2.0,1.0,1.0,1.5,2,1.5,1.65,1.452318
GALGOCAL 600mg,DESPARASITANTES INTERNOS Y EXTERNOS,2026,8,1.88,1.0,1.0,2.0,1.0,1.25,1,1.25,2.15,2.3193338
NOVALGINA,FARMACIA,2026,8,0.08,3.0,3.0,10.0,3.0,4.75,3,4.75,10.94,13.700617
OSURNIA,FARMACIA,2026,8,14.7,2.0,2.0,1.0,2.0,1.75,1,1.75,1.3,1.2775213
RABISIN,VACUNAS,2026,8,2.52,6.0,3.0,1.0,1.0,2.75,2,2.75,2.6066666666666665,3.6125193
BRONCHICINE,VACUNAS,2026,9,4.6,2.0,3.0,1.0,1.0,1.75,4,1.75,1.8,1.8199859
DAPPVL2,VACUNAS,2026,9,4.29,4.0,6.0,4.0,2.0,4.0,5,4.0,5.406666666666666,7.6853156
FELOCELL 3,VACUNAS,2026,9,6.42,1.0,1.0,1.0,4.0,1.75,2,1.75,1.18,1.1909454
FELOCELL FELV LEUCEMIA,VACUNAS,2026,9,9.7,2.0,2.0,2.0,1.0,1.75,1,1.75,1.8666666666666667,1.7478272
GALGOCAL 600mg,DESPARASITANTES INTERNOS Y EXTERNOS,2026,9,1.88,1.0,1.0,1.0,2.0,1.25,2,1.25,1.4933333333333334,1.2063482
PROTEGGO 1M 4.5 - 10KG MORADO,DESPARASITANTES INTERNOS Y EXTERNOS,2026,9,15.95,1.0,1.0,1.0,1.0,1.0,1,1.0,1.3333333333333333,1.4540468
RABISIN,VACUNAS,2026,9,2.52,2.0,6.0,3.0,1.0,3.0,6,3.0,5.096666666666667,6.429362
